ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
9146,Oct,3,Thursday,Mazda,Urban,Tuesday,Oct,4,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9147,10,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
1829,Oct,4,Tuesday,Chevrolet,Urban,Wednesday,Oct,4,Male,Single,49,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1830,6,700,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision
5790,Apr,3,Friday,Chevrolet,Urban,Monday,Apr,3,Male,Married,28,Third Party,Utility - All Perils,Utility,more than 69000,0,5791,7,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
8659,Jul,2,Tuesday,Honda,Urban,Tuesday,Feb,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8660,13,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
13103,Feb,3,Thursday,Pontiac,Urban,Thursday,Mar,1,Male,Married,61,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13104,4,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
8297,Sep,3,Wednesday,Mazda,Urban,Monday,Sep,4,Male,Married,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8298,1,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
3527,Jan,3,Monday,Pontiac,Urban,Monday,Jan,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3528,3,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
11772,Dec,4,Wednesday,Toyota,Urban,Thursday,Dec,4,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11773,13,400,2,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
10078,Sep,5,Saturday,Toyota,Urban,Monday,Oct,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10079,13,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
9860,May,1,Monday,Pontiac,Urban,Tuesday,May,1,Male,Married,28,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9861,9,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
8205,Aug,3,Friday,VW,Urban,Wednesday,Aug,4,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8206,6,400,1,more than 30,more than 30,1,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
4294,Sep,2,Saturday,Pontiac,Urban,Monday,Sep,2,Male,Single,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4295,13,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
12444,Jun,5,Tuesday,Honda,Rural,Tuesday,Jul,1,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12445,8,500,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1996,Liability
1906,Apr,2,Thursday,Honda,Urban,Thursday,Apr,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1907,11,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
8982,Feb,4,Sunday,Toyota,Rural,Monday,Mar,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8983,5,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
9783,Jul,4,Sunday,Pontiac,Urban,Wednesday,Aug,1,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9784,2,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils
8339,Feb,4,Tuesday,Honda,Urban,Wednesday,Mar,1,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8340,14,700,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
11658,Jan,4,Monday,Honda,Urban,Monday,Jan,4,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11659,7,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability
822,Nov,3,Friday,Pontiac,Urban,Wednesday,Nov,4,Male,Married,35,Policy Holder,Utility - All Perils,Utility,40000 to 59000,0,823,12,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
9877,Sep,2,Sunday,Pontiac,Urban,Tuesday,Sep,3,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9878,11,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
13286,May,3,Monday,Mazda,Urban,Tuesday,May,3,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13287,6,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,1 year,1 vehicle,1996,Collision
933,Jul,2,Tuesday,Toyota,Urban,Wednesday,Jul,2,Male,Married,64,Third Party,Sedan - Liability,Sport,30000 to 39000,0,934,3,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
2466,Apr,3,Thursday,Toyota,Urban,Wednesday,Apr,3,Female,Married,37,Third Party,Sedan - Liability,Sport,more than 69000,0,2467,10,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
14922,Sep,3,Friday,Dodge,Urban,Monday,Sep,3,Female,Married,31,Third Party,Sedan - Liability,Sport,20000 to 29000,0,14923,3,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
10909,Jun,2,Thursday,Pontiac,Urban,Tuesday,Jun,2,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10910,15,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
8720,Jan,2,Sunday,Chevrolet,Urban,Monday,Jan,2,Male,Married,77,Third Party,Sedan - Liability,Sport,60000 to 69000,0,8721,9,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,Internal,more than 5,no change,1 vehicle,1995,Liability
7235,Nov,2,Saturday,Pontiac,Urban,Monday,Nov,3,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7236,14,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
12390,Oct,3,Monday,Honda,Urban,Wednesday,Oct,3,Male,Single,27,Third Party,Sedan - Liability,Sport,20000 to 29000,0,12391,13,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Liability
1608,Nov,2,Thursday,Pontiac,Urban,Tuesday,Nov,5,Female,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1609,10,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
6715,Jun,2,Friday,Honda,Urban,Monday,Jun,2,Male,Married,64,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6716,12,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
5471,Aug,1,Tuesday,Toyota,Urban,Tuesday,Aug,1,Female,Married,43,Third Party,Sedan - Liability,Sport,20000 to 29000,0,5472,12,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
14753,Aug,3,Thursday,Honda,Rural,Tuesday,Aug,4,Male,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14754,14,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
10715,Apr,2,Tuesday,Mazda,Urban,Tuesday,Apr,3,Male,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10716,10,400,1,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
11353,May,1,Monday,Chevrolet,Urban,Tuesday,May,3,Male,Single,27,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11354,10,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
2948,Mar,2,Saturday,Toyota,Urban,Monday,Mar,2,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,2949,8,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
11411,Apr,5,Sunday,Toyota,Urban,Wednesday,May,1,Male,Married,63,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11412,6,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,Yes,No,Internal,none,no change,1 vehicle,1996,Liability
6370,Apr,3,Sunday,Pontiac,Rural,Monday,Apr,3,Male,Married,45,Third Party,Sedan - Collision,Sedan,less than 20000,0,6371,12,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,1 year,1 vehicle,1995,Collision
4286,Jun,3,Monday,Mazda,Urban,Tuesday,Jun,4,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4287,14,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
4583,Jun,3,Monday,Mazda,Urban,Monday,Jun,4,Male,Married,57,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4584,11,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
657,Oct,3,Saturday,Accura,Urban,Wednesday,Oct,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,658,6,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
928,Mar,4,Friday,Pontiac,Urban,Friday,Mar,4,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,929,7,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
6390,May,2,Tuesday,Pontiac,Urban,Tuesday,May,2,Female,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6391,1,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
4272,Sep,2,Saturday,Pontiac,Urban,Wednesday,Sep,2,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4273,5,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
12867,Jun,2,Friday,Mazda,Urban,Monday,Jun,2,Male,Single,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12868,10,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
12016,Nov,2,Monday,Mercury,Urban,Wednesday,Jan,3,Female,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12017,16,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
2269,Nov,2,Wednesday,Toyota,Urban,Thursday,Nov,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2270,12,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
12076,Jan,3,Tuesday,Pontiac,Urban,Tuesday,Jan,3,Male,Single,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12077,7,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
6181,Mar,1,Wednesday,Pontiac,Urban,Wednesday,Mar,1,Male,Married,56,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6182,11,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision
2846,Feb,1,Monday,Mazda,Urban,Tuesday,Feb,2,Male,Single,22,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2847,7,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
2137,Jul,3,Friday,Honda,Urban,Thursday,Jul,3,Male,Married,38,Third Party,Sport - Collision,Sport,more than 69000,0,2138,11,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
13863,Jul,5,Sunday,Honda,Urban,Monday,Aug,1,Male,Single,33,Third Party,Sport - Collision,Sport,more than 69000,0,13864,5,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
2785,Aug,2,Wednesday,Toyota,Urban,Wednesday,Aug,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2786,11,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
5771,Aug,3,Thursday,Pontiac,Urban,Tuesday,Aug,4,Male,Married,39,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,5772,2,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
9682,Nov,2,Sunday,Mazda,Urban,Tuesday,Nov,3,Male,Married,50,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9683,7,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
14683,Jul,1,Monday,Mazda,Urban,Monday,Jul,1,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14684,13,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
305,Apr,4,Wednesday,VW,Urban,Monday,May,5,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,306,9,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
14095,Aug,3,Wednesday,Honda,Urban,Thursday,Aug,4,Male,Married,48,Policy Holder,Sport - Collision,Sport,more than 69000,1,14096,14,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
8196,Dec,2,Thursday,Pontiac,Urban,Friday,Dec,3,Male,Single,31,Third Party,Sedan - All Perils,Sedan,less than 20000,0,8197,11,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
10886,Aug,3,Friday,Honda,Rural,Thursday,Aug,4,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10887,7,400,1,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1995,All Perils
10136,Dec,2,Saturday,Pontiac,Urban,Friday,Dec,4,Female,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10137,7,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
7796,Mar,5,Thursday,Honda,Urban,Monday,Apr,1,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,7797,9,400,1,more than 30,more than 30,none,new,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
14915,Jun,1,Monday,Mazda,Urban,Monday,Jun,3,Male,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14916,6,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
6824,Oct,1,Saturday,Mazda,Rural,Wednesday,Oct,1,Male,Married,50,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,6825,14,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
11132,Sep,3,Saturday,Pontiac,Urban,Thursday,Sep,4,Male,Single,23,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11133,3,400,3,more than 30,more than 30,1,4 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6550,Jul,2,Saturday,Mazda,Urban,Tuesday,Jul,2,Male,Married,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6551,2,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
4253,Mar,3,Thursday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,65,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4254,10,400,1,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
4229,May,5,Tuesday,Mazda,Urban,Monday,Jun,1,Female,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4230,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
8803,Jan,1,Wednesday,Pontiac,Urban,Monday,Jan,3,Female,Single,33,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8804,7,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
296,Jan,3,Tuesday,Honda,Urban,Monday,Jan,4,Male,Single,40,Third Party,Sedan - Liability,Sport,20000 to 29000,0,297,15,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
1338,Feb,3,Thursday,Honda,Urban,Friday,Feb,3,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,1339,16,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
5715,Jul,1,Tuesday,Toyota,Urban,Monday,Jul,2,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,5716,5,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
4330,Nov,3,Sunday,Pontiac,Urban,Monday,Nov,3,Male,Single,23,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4331,14,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
11702,Jan,3,Saturday,Honda,Urban,Tuesday,Jan,3,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11703,1,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
11533,Jun,4,Monday,Mazda,Urban,Wednesday,Jun,5,Female,Single,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11534,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
4626,Apr,2,Monday,Toyota,Urban,Monday,Apr,3,Male,Married,51,Policy Holder,Sedan - Liability,Sport,more than 69000,0,4627,8,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
11378,Aug,4,Sunday,Chevrolet,Urban,Monday,Aug,5,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11379,6,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability
1314,Jun,4,Sunday,Honda,Urban,Wednesday,Jun,5,Female,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1315,12,400,3,more than 30,more than 30,1,3 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
6790,Sep,5,Friday,Pontiac,Rural,Monday,Oct,2,Female,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,6791,11,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
13815,Jun,5,Thursday,Pontiac,Urban,Monday,Jul,1,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13816,2,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
3162,Oct,2,Monday,Pontiac,Urban,Wednesday,Oct,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3163,16,700,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,All Perils
1858,Jan,1,Sunday,Mazda,Urban,Thursday,Feb,1,Male,Married,73,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1859,13,400,2,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
5159,May,1,Thursday,Pontiac,Urban,Tuesday,May,2,Male,Divorced,70,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5160,6,400,1,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability
4443,Jul,3,Friday,Mazda,Urban,Tuesday,Jul,3,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4444,11,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
208,Oct,1,Saturday,Toyota,Urban,Tuesday,Oct,2,Male,Single,21,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,209,5,400,2,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
1212,Aug,4,Tuesday,Honda,Urban,Tuesday,Aug,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1213,15,400,1,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
6499,Mar,3,Wednesday,Pontiac,Rural,Wednesday,Mar,3,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6500,15,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
10437,Jan,5,Tuesday,Toyota,Rural,Wednesday,Feb,1,Male,Single,45,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,10438,2,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils
